"Location or Address","Location - Remarks","Property Owner",Public,Private,"New Tag #","Old Tag #","DBH ("")","General Condition of Crown","Foliage Quality","Structural Quality","Deadwood Present","Quality Tree",Remarks,Maintenance Performed
112 Court St North side,"",Moss,X,"",2 60,"",25,VG,VG,G,G,"","",""
103 Court St South side,"",Slocum,X,"",2 61,"",7,G,G,G,G,"","",""
97 Court St South side,"",Galen/Genereux,X,"",2 62,"",37,G,G,G,G,"","",REMOVED (DED)
97 Court St South side,"",Galen/Genereux,X,"",2 63,126,44,G,G,G,G,,"",Pruned
97 Court St South side,"",Buchanan,X,"",2 64,"",41,G,G,G,G,,"",""
89 Court St South side,"",Buchanan,X,"",2 65,"",47,G,G,F,G,,"Caviity, Install 1 cable",3 cables
89 Court St South side,"",Buchanan,"",X,2 66,"",21 27,G,G,G,F,"",Medium DW,""
83 Court St South side,"",Weinstein,X,"",2 67,"",17,G,G,G,F,"",Small DW,Pruned
10 Tarratine St West side,"",Bernstein,X,"",2 68,156,35,G,G,F,F,"","Cavities, Split leader, Small DW",Pruned
13 Tarratine St East side,"",Bryant,X,"",2 69,277,37,G,G,G,G,,"",Pruned
29 Tarratine St East side,"",Breimer,X,"",2 70,157,33,G,G,G,F,"",Medium DW,Pruned
- Battle Ave South side,"",MCHT,X,"",2 71,158,41,G,G,F,P,"","Fix split leader, Large DW",1 cable; 3 brace rods
- Battle Ave South side,"",MCHT,X,"",2 72,"",6,G,G,G,G,"","",""
191 Perkins St South side,"",Rogers,"",X,2 73,"",11,G,G,VP,G,"",Tree split,""
191 Perkins St South side,"",Rogers,"",X,2 74,"",7,G,G,F,G,"","",""
191 Perkins St South side,"",Rogers,"",X,2 75,"",13,G,G,P,G,"",Bad crotches,""
191 Perkins St South side,"",Rogers,"",X,2 76,"",18,G,G,P,G,"",Bad crotches,""
191 Perkins St South side,"",Rogers,"",X,2 77,"",17,G,G,P,G,"",Bad crotches,""
191 Perkins St South side,"",Rogers,"",X,2 78,"",18,G,G,P,G,"",Bad crotches,""
Court St North side,"",Health Center,X,"",2 79,"",6,G,G,G,G,"","",""
37 Water St South side,"",Cohen,"",X,2 80,"",13,G,G,G,G,"","",""
37 Water St South side,"",Cohen,X,"",2 81,"",17,G,G,F,G,"","",Pruned
37 Water St South side,"",Cohen,X,"",2 82,"",19,G,G,G,G,"","",""
Water St North side,6 Dyer Lane,Babcock,X,"",2 83,"",37,G,G,G,G,,Medium DW,""
- Dyer Ln East side,109 Court St,Leach,X,"",2 84,132,32,G,G,P,F,"","Large split leader, Medium DW",Pruned
- Dyer Ln East side,109 Court St,Leach,X,"",2 85,23,34,F,F,G,G,"","",""
- Dyer Ln East side,109 Court St,Leach,X,"",2 86,134,26,G,G,G,F,"","Small DW, Medium hanger",Pruned
Dyer Ln East side,72 Water St,McKean,"",X,2 87,"",20,F,F,G,G,"","",""
5 Dyer Ln East side,"",Ashton,X,"",2 88,"",11 12,G,G,P,G,"",4 more small stems,""
5 Dyer Ln East side,"",Ashton,X,"",2 89,"",20,G,G,G,G,"","",""
72 Water St North side,"",McKean,"",X,2 90,397,18,G,G,F,G,"","",""
72 Water St North side,"",McKean,"",X,2 91,"",22,G,G,F,G,"",Improper cut,Pruned
72 Water St North side,"",McKean,"",X,2 92,"",18,G,G,G,G,"","",""
Water St South side,Opposite 75 Water St,Babcock,"",X,2 93,"",18,G,G,G,G,"","",""
82 Water St North side,"","Murnaghan, J",X,"",2 94,"",50,F,P,P,G,"",Install 2 cables,Pruned; 2 cables
98 Water St North side,"",Clouse,X,"",2 95,"",43,VG,VG,G,G,,"",""
108 Water St South side,"",Scott,X,"",2 96,"",9,G,G,F,G,"","",""
108 Water St North side,"",Scott,"",X,2 97,"",6 8,G,G,P,G,"",Poor crotch structure,REMOVED (DED)
108 Water St North side,"",Scott,"",X,2 98,"",26,G,G,G,G,"","",""
125 Spring St East side,"",Pederson,"",X,2 99,"",8,G,F,G,G,"","",""
Spring St West side,"",Castine,"",X,3 00,"",15,G,G,G,G,"","",""
Spring St West side,"",Castine,"",X,3 01,"",15,G,G,G,G,"","",""
145 Court St South side,"","Warren, R",X,"",3 02,"",46,G,G,F,F,"","Medium DW, Structural issues",Pruned; 3 cables
