"Location or Address","Location - Remarks","Property Owner",Public,Private,"New Tag #","Old Tag #","DBH ("")","General Condition of Crown","Foliage Quality","Structural Quality","Deadwood Present","Quality Tree",Remarks,Maintenance Performed
29 Court St South side,"",Payson,"",X,1 48,"",8 7,G,G,P,G,"","",""
31 Court St South side,"",Kaden,"",X,1 49,"",15 10 11,G,G,F,G,"","",""
31 Court St South side,"",Kaden,"",X,1 50,"",6,G,G,F,G,"","",""
31 Court St South side,"",Kaden,X,"",1 51,"",13,G,G,G,G,"","",""
31 Court St South side,"",Kaden,X,"",1 52,"",10,G,G,F,G,"","",""
41 Court St South side,"",Sweet,"",X,1 53,386,21,F,F,G,G,"","",""
41 Court St South side,"",Sweet,X,"",1 54,"",42,F,F,G,G,"",Pruned,Pruned
41 Court St South side,"",Sweet,X,"",1 55,147,31,G,G,G,G,"","",""
41 Court St South side,"",Sweet,X,"",1 56,146,23,F,F,G,"","","",Pruned
41 Court St South side,"",Sweet,X,"",1 57,"",33,G,G,P,G,"","",Pruned
Pleasant St West side,41 Court St,Sweet,X,"",1 58,"",7,G,G,G,G,"","",""
Water St North side,"",T & C,X,"",1 59,"",11 12 17,G,G,F,G,"","",""
18 Main St West side,"",Catuna,X,"",1 60,"",7,G,G,P,G,"","",""
Perkins St South side,18 Main St,Catuna,X,"",1 61,45,"",G,VG,F,F,"","",Pruned
206 Perkins St North side,"",Dearie,X,"",1 62,"",56,G,G,G,G,,"",Pruned
19 Pleasant St East side,"",Stearns,"",X,1 63,"",15,F,G,P,G,"","",""
21 Pleasant St East side,or property behind,Tonry,"",X,1 64,"",37,G,G,G,G,,"",""
- Court St South side,27 Pleasant St,Breen,X,"",1 65,240,60,G,G,G,G,,"",Pruned
- Pleasant St East side,46 Court St,Pierce,X,"",1 66,56,39,F,F,G,F,"","",Pruned
- Pleasant St East side,46 Court St,Pierce,X,"",1 67,55,34,F,F,G,F,"",Medium DW,Pruned
39 Pleasant St East side,"",Nelson,X,"",1 68,297,40,G,G,G,G,"","",""
43 Pleasant St East side,"",Warren,X,"",1 69,374,28,F,F,G,G,"",Small DW,""
43 Pleasant St East side,"",Warren,X,"",1 70,"",6,G,G,G,G,"","",""
Pleasant St East side,80 Main St Rear,McLean,X,"",1 72,329,22,G,G,F,G,"","Small DW, Old damage",""
Pleasant St East side,80 Main St Rear,McLean,X,"",1 73,330,25,F,G,F,G,"",Small DW,""
53 Pleasant St East side,"",Fullenweider,"",X,1 74,331,48,F,G,G,P,"",Large DW,""
Pleasant St East side,80 Main St Rear,McLean,"",X,1 75,332,46,F,F,G,G,"",Small DW,""
53 Pleasant St East side,"",Fullenweider,X,"",1 76,172,23,F,F,F,G,"","Small DW, Old damage",""
53 Pleasant St East side,"",Fullenweider,X,"",1 77,"",28,G,G,G,G,"","",""
53 Pleasant St East side,"",Fullenweider,X,"",1 78,299,27,F,F,G,F,"",Small DW,""
57 Pleasant St East side,"",Sweet,X,"",1 79,301,25,G,G,G,G,"",Small DW,Pruned
57 Pleasant St East side,"",Sweet,X,"",1 80,302,25,F,F,P,P,"","Large DW, Large cavity",Pruned
88 Main St West side,"",Hyatt,X,"",1 81,"",16,F,F,G,G,"",Small DW,Pruned
88 Main St West side,"",Hyatt,X,"",1 82,"",11,G,G,VP,G,"",Poor crotch structure,Pruned; 3 brace rods
88 Main St West side,"",Hyatt,"",X,1 83,389,19,G,G,VP,G,"",Poor crotch structure,""
88 Main St West side,"",Hyatt,X,"",1 84,"",11,G,G,G,G,"","",DED 07/25/11
84 Main St West side,"",Baker,X,"",1 85,"",26,F,G,G,G,"","",Pruned
76 Main St West side,"",Siegel,"",X,1 86,"",32,G,G,F,F,"",Medium DW,""
80 Main St West side,"",McLean ?,"",X,1 87,"",21,G,G,G,F,"",Medium DW,""
76 Main St West side,"",Siegel,"",X,1 88,326,27 11,G,G,G,G,"",Small DW,""
72 Main St West side,"",Foote,X,"",1 89,324,33,G,G,F,F,"","Medium DW, Possible internal defect",Pruned
